timestamp,location,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed
2024-01-15 00:00:00,Demo City,18.2,32.1,24.5,0.8,4.2,38.1,14.5,62.0,3.2
2024-01-15 01:00:00,Demo City,17.5,30.8,23.1,0.7,3.9,39.4,13.8,64.0,3.5
2024-01-15 02:00:00,Demo City,16.9,29.5,22.4,0.7,3.7,40.2,13.2,65.0,3.8
2024-01-15 03:00:00,Demo City,16.2,28.9,21.8,0.6,3.5,41.0,12.9,66.0,4.1
2024-01-15 04:00:00,Demo City,15.8,28.2,21.2,0.6,3.4,41.5,12.5,67.0,4.3
2024-01-15 05:00:00,Demo City,16.5,29.1,22.0,0.7,3.6,40.8,12.8,66.5,4.0
2024-01-15 06:00:00,Demo City,19.8,34.2,26.5,0.9,4.8,37.5,14.0,63.0,3.0
2024-01-15 07:00:00,Demo City,25.4,42.8,31.2,1.1,5.6,34.2,16.5,59.0,2.5
2024-01-15 08:00:00,Demo City,32.1,55.4,38.9,1.4,6.8,30.1,18.2,55.0,2.1
2024-01-15 09:00:00,Demo City,35.8,61.2,42.5,1.5,7.2,28.5,20.1,52.0,1.9
2024-01-15 10:00:00,Demo City,38.2,65.8,44.8,1.6,7.5,27.2,21.5,50.0,1.7
2024-01-15 11:00:00,Demo City,36.5,62.4,43.1,1.5,7.3,28.0,22.8,48.0,1.8
2024-01-15 12:00:00,Demo City,34.2,58.9,41.5,1.4,7.0,29.1,23.5,47.0,2.0
2024-01-15 13:00:00,Demo City,30.1,52.3,38.2,1.3,6.4,31.5,23.8,46.0,2.2
2024-01-15 14:00:00,Demo City,28.5,48.7,36.1,1.2,6.0,33.2,24.1,45.0,2.5
2024-01-15 15:00:00,Demo City,26.2,45.1,34.2,1.1,5.7,34.8,23.5,46.0,2.8
2024-01-15 16:00:00,Demo City,24.8,42.5,32.5,1.0,5.4,36.1,22.8,48.0,3.1
2024-01-15 17:00:00,Demo City,23.5,40.2,31.2,0.9,5.1,37.2,22.1,50.0,3.3
2024-01-15 18:00:00,Demo City,22.1,38.5,29.8,0.9,4.9,38.0,21.5,51.0,3.2
2024-01-15 19:00:00,Demo City,21.5,37.1,28.9,0.8,4.7,38.5,20.8,53.0,3.0
2024-01-15 20:00:00,Demo City,20.8,35.8,28.1,0.8,4.5,39.1,19.5,55.0,2.9
2024-01-15 21:00:00,Demo City,20.2,34.9,27.5,0.8,4.4,39.5,18.2,57.0,2.8
2024-01-15 22:00:00,Demo City,19.5,33.8,26.8,0.7,4.2,40.1,17.1,59.0,3.0
2024-01-15 23:00:00,Demo City,18.8,32.5,25.8,0.7,4.0,40.8,15.9,61.0,3.1
2024-01-16 00:00:00,Demo City,17.9,31.2,24.8,0.7,3.8,41.2,14.8,63.0,3.3
2024-01-16 01:00:00,Demo City,17.1,30.1,23.9,0.6,3.6,41.8,13.9,64.5,3.5
2024-01-16 02:00:00,Demo City,16.5,29.2,23.2,0.6,3.5,42.1,13.2,65.5,3.7
2024-01-16 03:00:00,Demo City,15.9,28.5,22.5,0.6,3.3,42.5,12.8,66.0,3.9
2024-01-16 04:00:00,Demo City,15.4,27.9,22.0,0.5,3.2,43.0,12.4,66.5,4.1
2024-01-16 05:00:00,Demo City,16.2,29.0,22.8,0.6,3.4,42.2,12.7,66.0,3.8
2024-01-16 06:00:00,Demo City,20.5,35.8,27.2,0.9,4.9,38.5,14.2,62.0,3.1
2024-01-16 07:00:00,Demo City,28.9,49.5,34.8,1.2,5.9,33.8,16.8,58.0,2.4
2024-01-16 08:00:00,Demo City,38.5,68.2,45.2,1.6,7.4,27.5,19.2,53.0,1.8
2024-01-16 09:00:00,Demo City,45.2,78.5,51.8,1.8,8.1,24.2,21.5,49.0,1.5
2024-01-16 10:00:00,Demo City,52.8,88.9,58.2,2.0,9.0,21.5,23.2,46.0,1.2
2024-01-16 11:00:00,Demo City,48.5,82.1,55.1,1.9,8.5,23.1,24.5,44.0,1.4
2024-01-16 12:00:00,Demo City,44.2,75.8,51.5,1.7,8.0,25.2,25.1,43.0,1.6
2024-01-16 13:00:00,Demo City,40.8,70.2,48.2,1.6,7.5,27.1,25.8,42.0,1.8
2024-01-16 14:00:00,Demo City,37.5,65.1,45.1,1.5,7.0,29.2,25.5,43.0,2.1
2024-01-16 15:00:00,Demo City,34.8,60.5,42.5,1.4,6.6,31.0,25.1,44.0,2.4
2024-01-16 16:00:00,Demo City,31.2,55.2,39.8,1.3,6.1,32.8,24.2,46.0,2.7
2024-01-16 17:00:00,Demo City,28.5,50.1,37.1,1.2,5.7,34.5,23.1,48.0,3.0
2024-01-16 18:00:00,Demo City,25.8,45.8,34.5,1.1,5.3,36.1,22.0,50.0,3.2
2024-01-16 19:00:00,Demo City,23.5,42.1,32.2,1.0,5.0,37.5,21.2,52.0,3.0
2024-01-16 20:00:00,Demo City,21.8,39.5,30.5,0.9,4.7,38.8,20.1,54.0,2.9
2024-01-16 21:00:00,Demo City,20.5,37.2,29.1,0.8,4.5,39.5,19.0,56.0,2.8
2024-01-16 22:00:00,Demo City,19.8,35.9,28.2,0.8,4.3,40.1,17.8,58.0,2.9
2024-01-16 23:00:00,Demo City,19.1,34.8,27.5,0.7,4.1,40.8,16.5,60.0,3.1
2024-01-17 00:00:00,Demo City,18.2,33.1,26.5,0.7,3.9,41.5,15.2,62.0,3.3
2024-01-17 01:00:00,Demo City,17.5,32.0,25.8,0.6,3.7,42.0,14.2,63.5,3.5
2024-01-17 02:00:00,Demo City,16.8,30.8,25.0,0.6,3.5,42.5,13.5,64.5,3.7
2024-01-17 03:00:00,Demo City,16.2,29.9,24.2,0.6,3.4,43.0,12.9,65.5,3.9
2024-01-17 04:00:00,Demo City,15.6,29.1,23.5,0.5,3.2,43.5,12.4,66.0,4.1
2024-01-17 05:00:00,Demo City,16.8,30.5,24.5,0.6,3.5,42.8,12.8,65.5,3.8
2024-01-17 06:00:00,Demo City,21.2,36.5,27.9,0.9,5.0,39.2,14.5,62.0,3.0
2024-01-17 07:00:00,Demo City,29.5,51.2,35.5,1.3,6.1,34.5,17.2,57.5,2.3
2024-01-17 08:00:00,Demo City,38.9,68.5,45.5,1.6,7.5,28.2,19.8,52.5,1.7
2024-01-17 09:00:00,Demo City,65.2,112.5,68.5,2.4,11.2,19.5,21.2,48.0,0.9
2024-01-17 10:00:00,Demo City,112.8,185.4,95.2,3.8,16.5,12.8,22.5,45.0,0.5
